City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,adrar,20.5022,-10.0711,36.6,8,2,1.46,MR,1712253537
84,kiunga,-6.1219,141.2906,23.68,100,100,0.94,PG,1712253538
85,petropavlovsk-kamchatsky,53.0452,158.6483,-8.08,86,20,5.36,RU,1712253538
86,kapuskasing,49.4169,-82.4331,4.05,65,75,4.12,CA,1712253538
87,carnarvon,-24.8667,113.6333,26.23,47,0,4.44,AU,1712253538
88,ngama,11.7833,17.1667,34.21,8,98,3.45,TD,1712253538
89,el hamma,33.8915,9.7963,19.62,50,0,7.33,TN,1712253538
90,madimba,-10.4,40.3333,26.62,94,40,2.57,TZ,1712253538
91,colonia,50.9333,6.95,15.36,70,20,5.14,DE,1712253353
92,bantogon,6.5333,124.0333,27.27,76,100,1.12,PH,1712253538
93,bamiantong,44.9333,130.5333,2.14,55,4,3.65,CN,1712253538
94,margaret river,-33.95,115.0667,15.93,48,27,3.74,AU,1712253538
95,luanda,-8.8368,13.2343,29.0,83,75,5.14,AO,1712253538
96,nuuk,64.1835,-51.7216,-0.07,79,4,9.39,GL,1712253539
97,gorontalo,0.5412,123.0595,23.93,95,99,1.53,ID,1712253539
98,saint-joseph,-21.3667,55.6167,24.21,90,44,3.98,RE,1712253539
99,utrik,11.2278,169.8474,26.43,79,99,8.66,MH,1712253539
100,bela vista,-22.1089,-56.5211,37.04,31,37,3.39,BR,1712253535
101,susuman,62.7833,148.1667,-25.01,100,59,0.89,RU,1712253510
102,tiksi,71.6872,128.8694,-25.37,99,100,6.54,RU,1712253539
103,cuichapa,18.7667,-96.8667,27.02,32,20,3.13,MX,1712253539
104,laojunmiao,39.8333,97.7333,4.35,31,94,2.52,CN,1712253539
105,kuytun,54.3419,101.5036,2.71,97,100,6.52,RU,1712253539
106,new norfolk,-42.7826,147.0587,8.73,97,7,1.05,AU,1712253539
107,villadossola,46.0732,8.2674,16.01,90,93,1.02,IT,1712253539
108,dingzhou,38.5131,114.9956,7.06,64,37,1.75,CN,1712253540
109,iskateley,67.6803,53.1512,-15.55,88,100,8.49,RU,1712253361
110,vadso,70.0744,29.7487,-7.51,79,40,9.26,NO,1712253540
111,kodiak,57.79,-152.4072,2.73,100,40,0.0,US,1712253540
112,antofagasta,-23.65,-70.4,21.6,77,12,4.01,CL,1712253455
113,smithers,54.7804,-127.1743,-0.82,86,20,1.54,CA,1712253540
114,dunedin,-45.8742,170.5036,9.89,72,91,2.24,NZ,1712253540
115,amungan,15.3652,119.9582,27.09,70,7,1.93,PH,1712253540
116,hermanus,-34.4187,19.2345,17.67,81,80,3.46,ZA,1712253540
117,pisco,-13.7,-76.2167,25.03,73,0,6.69,PE,1712253247
118,finspang,58.7058,15.7674,0.06,93,100,5.14,SE,1712253540
119,fort bragg,35.139,-79.006,15.46,39,100,7.2,US,1712253541
120,selfoss,63.9331,-20.9971,1.69,61,100,5.73,IS,1712253541
121,pak chong,14.708,101.4161,28.92,68,11,1.74,TH,1712253541
122,tidjikja,18.5564,-11.4271,39.55,9,3,1.39,MR,1712253541
123,ribeira grande,38.5167,-28.7,15.22,72,75,9.26,PT,1712253541
124,montfort-sur-meu,48.1333,-1.9667,14.94,82,100,6.69,FR,1712253541
125,cumana,10.4635,-64.1775,28.74,72,16,3.68,VE,1712253541
126,codrington,-38.2667,141.9667,10.13,82,56,3.17,AU,1712253541
127,labrador city,52.9463,-66.9114,-0.05,59,75,5.66,CA,1712253413
128,ola,59.5833,151.2833,-11.03,89,30,3.25,RU,1712253542
129,constantia,44.1833,28.65,13.38,74,92,5.95,RO,1712253542
130,isafjordur,66.0755,-23.124,0.02,51,75,4.12,IS,1712253542
131,vorgashor,67.5833,63.95,-12.33,92,100,4.91,RU,1712253542
132,tsiombe,-25.3,45.4833,23.14,86,28,5.4,MG,1712253542
133,urucara,-2.5364,-57.76,33.17,58,26,0.4,BR,1712253542
134,chunskiy,56.0815,99.6342,2.6,89,100,6.17,RU,1712253542
135,chibougamau,49.9168,-74.3659,1.79,44,75,7.2,CA,1712253542
136,zyryanskoye,56.8306,86.6258,3.33,97,100,4.63,RU,1712253380
137,lamar,33.6668,-95.5836,21.05,32,0,3.09,US,1712253543
138,afaahiti,-17.75,-149.2833,27.93,84,98,5.59,PF,1712253543
139,gornozavodsk,58.3758,58.3211,5.66,92,40,4.43,RU,1712253276
140,acapulco de juarez,16.8634,-99.8901,25.34,60,5,3.95,MX,1712253430
141,attapeu,14.8,106.8333,27.74,57,6,0.57,LA,1712253543
142,atafu village,-8.5421,-172.5159,29.25,75,68,5.16,TK,1712253543
143,inongo,-1.95,18.2667,27.0,71,98,1.11,CD,1712253543
144,ndibene dahra,15.3338,-15.4766,44.99,8,82,5.26,SN,1712253543
145,vilyuchinsk,52.9306,158.4028,-7.26,83,6,3.94,RU,1712253544
